fs_sales_org_frcst_poc.sales_grp_cd,fs_sales_org_frcst_poc.frcst_dt,fs_sales_org_frcst_poc.mktg_org_type_nbr,fs_sales_org_frcst_poc.mktg_org_lvl_1_cd,fs_sales_org_frcst_poc.mktg_org_lvl_2_cd,fs_sales_org_frcst_poc.mktg_org_lvl_3_cd,fs_sales_org_frcst_poc.mktg_org_lvl_4_cd,fs_sales_org_frcst_poc.mktg_org_lvl_5_cd,fs_sales_org_frcst_poc.mktg_org_lvl_6_cd,fs_sales_org_frcst_poc.sell_src_cd,fs_sales_org_frcst_poc.kpi_cd,fs_sales_org_frcst_poc.frcst_model_cd,fs_sales_org_frcst_poc.kpi_val,fs_sales_org_frcst_poc.src_sys_last_upd_usr_id,fs_sales_org_frcst_poc.src_sys_last_upd_ts
US,1/1/2023,1,0,,,,,,510,NULL,4,3620,UNKNOWN,NULL
US,3/1/2023,1,0,,,,,,510,NULL,4,5395,UNKNOWN,NULL
US,5/1/2023,1,0,,,,,,510,NULL,4,4600,UNKNOWN,NULL
US,6/1/2023,1,0,,,,,,510,NULL,4,5200,UNKNOWN,NULL
US,7/1/2023,1,0,,,,,,510,NULL,4,4525,UNKNOWN,NULL
US,10/1/2023,1,0,,,,,,510,NULL,4,3925,UNKNOWN,NULL
US,1/1/2023,1,0,,,,,,531,NULL,4,1250,UNKNOWN,NULL
US,3/1/2023,1,0,,,,,,531,NULL,4,1000,UNKNOWN,NULL
US,4/1/2023,1,0,,,,,,531,NULL,4,750,UNKNOWN,NULL
US,5/1/2023,1,0,,,,,,531,NULL,4,1000,UNKNOWN,NULL
US,10/1/2023,1,0,,,,,,531,NULL,4,650,UNKNOWN,NULL
US,3/1/2023,1,0,,,,,,549,NULL,4,3500,UNKNOWN,NULL
US,4/1/2023,1,0,,,,,,549,NULL,4,1500,UNKNOWN,NULL
US,7/1/2023,1,0,,,,,,549,NULL,4,2500,UNKNOWN,NULL
US,11/1/2023,1,0,,,,,,549,NULL,4,2500,UNKNOWN,NULL
US,10/1/2023,1,0,,,,,,7,NULL,4,5000,UNKNOWN,NULL
US,11/1/2023,1,0,,,,,,7,NULL,4,4000,UNKNOWN,NULL
US,10/1/2023,1,0,,,,,,564,NULL,4,250,UNKNOWN,NULL
US,11/1/2023,1,0,,,,,,564,NULL,4,750,UNKNOWN,NULL
US,3/1/2023,1,0,,,,,,507,NULL,4,650,UNKNOWN,NULL
US,6/1/2023,1,0,,,,,,507,NULL,4,1000,UNKNOWN,NULL
US,7/1/2023,1,0,,,,,,507,NULL,4,825,UNKNOWN,NULL
US,8/1/2023,1,0,,,,,,507,NULL,4,750,UNKNOWN,NULL
US,9/1/2023,1,0,,,,,,507,NULL,4,600,UNKNOWN,NULL
US,2/1/2023,1,0,,,,,,502,NULL,4,760,UNKNOWN,NULL
US,3/1/2023,1,0,,,,,,502,NULL,4,1300,UNKNOWN,NULL
US,4/1/2023,1,0,,,,,,502,NULL,4,1750,UNKNOWN,NULL
US,7/1/2023,1,0,,,,,,502,NULL,4,1750,UNKNOWN,NULL
US,8/1/2023,1,0,,,,,,502,NULL,4,1275,UNKNOWN,NULL
US,9/1/2023,1,0,,,,,,502,NULL,4,1500,UNKNOWN,NULL
US,10/1/2023,1,0,,,,,,502,NULL,4,1500,UNKNOWN,NULL
US,2/1/2023,1,0,,,,,,555,NULL,4,250,UNKNOWN,NULL
US,5/1/2023,1,0,,,,,,555,NULL,4,1000,UNKNOWN,NULL
US,7/1/2023,1,0,,,,,,555,NULL,4,8500,UNKNOWN,NULL
US,2/1/2023,1,0,,,,,,556,NULL,4,505,UNKNOWN,NULL
US,4/1/2023,1,0,,,,,,556,NULL,4,845,UNKNOWN,NULL
US,6/1/2023,1,0,,,,,,556,NULL,4,2300,UNKNOWN,NULL
US,1/1/2023,1,0,,,,,,539,NULL,4,397,UNKNOWN,NULL
US,6/1/2023,1,0,,,,,,539,NULL,4,650,UNKNOWN,NULL
US,10/1/2023,1,0,,,,,,539,NULL,4,650,UNKNOWN,NULL
US,11/1/2023,1,0,,,,,,539,NULL,4,554,UNKNOWN,NULL
US,4/1/2023,1,0,,,,,,536,NULL,4,1290,UNKNOWN,NULL
US,5/1/2023,1,0,,,,,,536,NULL,4,1500,UNKNOWN,NULL
US,6/1/2023,1,0,,,,,,536,NULL,4,1700,UNKNOWN,NULL
US,7/1/2023,1,0,,,,,,536,NULL,4,1350,UNKNOWN,NULL
US,2/1/2023,1,0,,,,,,489,NULL,4,4750,UNKNOWN,NULL
US,6/1/2023,1,0,,,,,,489,NULL,4,30,UNKNOWN,NULL
US,1/1/2023,1,0,,,,,,491,NULL,4,2050,UNKNOWN,NULL
US,2/1/2023,1,0,,,,,,491,NULL,4,1635,UNKNOWN,NULL
US,3/1/2023,1,0,,,,,,491,NULL,4,1430,UNKNOWN,NULL
US,2/1/2023,1,0,,,,,,497,NULL,4,2810,UNKNOWN,NULL
US,7/1/2023,1,0,,,,,,497,NULL,4,3230,UNKNOWN,NULL
US,8/1/2023,1,0,,,,,,497,NULL,4,3300,UNKNOWN,NULL
US,10/1/2023,1,0,,,,,,497,NULL,4,3140,UNKNOWN,NULL
US,1/1/2023,1,0,,,,,,462,NULL,4,728,UNKNOWN,NULL
US,2/1/2023,1,0,,,,,,462,NULL,4,640,UNKNOWN,NULL
US,4/1/2023,1,0,,,,,,462,NULL,4,760,UNKNOWN,NULL
US,5/1/2023,1,0,,,,,,462,NULL,4,654,UNKNOWN,NULL
US,6/1/2023,1,0,,,,,,462,NULL,4,852,UNKNOWN,NULL
US,7/1/2023,1,0,,,,,,462,NULL,4,734,UNKNOWN,NULL
US,11/1/2023,1,0,,,,,,462,NULL,4,70,UNKNOWN,NULL
US,1/1/2023,1,0,,,,,,538,NULL,4,2568,UNKNOWN,NULL
US,2/1/2023,1,0,,,,,,538,NULL,4,3420,UNKNOWN,NULL
US,3/1/2023,1,0,,,,,,538,NULL,4,3760,UNKNOWN,NULL
US,4/1/2023,1,0,,,,,,538,NULL,4,4550,UNKNOWN,NULL
US,5/1/2023,1,0,,,,,,538,NULL,4,5120,UNKNOWN,NULL
US,6/1/2023,1,0,,,,,,538,NULL,4,6200,UNKNOWN,NULL
US,9/1/2023,1,0,,,,,,538,NULL,4,6550,UNKNOWN,NULL
US,10/1/2023,1,0,,,,,,538,NULL,4,5500,UNKNOWN,NULL
US,2/1/2023,1,0,,,,,,548,NULL,4,3030,UNKNOWN,NULL
US,4/1/2023,1,0,,,,,,548,NULL,4,4000,UNKNOWN,NULL
US,5/1/2023,1,0,,,,,,548,NULL,4,3780,UNKNOWN,NULL
US,6/1/2023,1,0,,,,,,548,NULL,4,3900,UNKNOWN,NULL
US,11/1/2023,1,0,,,,,,548,NULL,4,2800,UNKNOWN,NULL
US,1/1/2023,1,0,,,,,,495,NULL,4,12750,UNKNOWN,NULL
US,5/1/2023,1,0,,,,,,495,NULL,4,12500,UNKNOWN,NULL
US,6/1/2023,1,0,,,,,,495,NULL,4,11300,UNKNOWN,NULL
US,7/1/2023,1,0,,,,,,495,NULL,4,10650,UNKNOWN,NULL
US,8/1/2023,1,0,,,,,,495,NULL,4,13500,UNKNOWN,NULL
US,9/1/2023,1,0,,,,,,495,NULL,4,11200,UNKNOWN,NULL
US,11/1/2023,1,0,,,,,,495,NULL,4,13450,UNKNOWN,NULL
US,2/1/2023,1,0,,,,,,547,NULL,4,700,UNKNOWN,NULL
US,7/1/2023,1,0,,,,,,547,NULL,4,1360,UNKNOWN,NULL
US,8/1/2023,1,0,,,,,,547,NULL,4,1200,UNKNOWN,NULL
US,9/1/2023,1,0,,,,,,547,NULL,4,1200,UNKNOWN,NULL
US,10/1/2023,1,0,,,,,,547,NULL,4,1175,UNKNOWN,NULL
US,1/1/2023,1,0,,,,,,546,NULL,4,1420,UNKNOWN,NULL
US,2/1/2023,1,0,,,,,,546,NULL,4,1450,UNKNOWN,NULL
US,3/1/2023,1,0,,,,,,546,NULL,4,1775,UNKNOWN,NULL
US,6/1/2023,1,0,,,,,,546,NULL,4,2010,UNKNOWN,NULL
US,8/1/2023,1,0,,,,,,560,NULL,4,200,UNKNOWN,NULL
US,11/1/2023,1,0,,,,,,560,NULL,4,1700,UNKNOWN,NULL
US,1/1/2023,1,0,,,,,,125,NULL,4,300,UNKNOWN,NULL
US,4/1/2023,1,0,,,,,,125,NULL,4,350,UNKNOWN,NULL
US,6/1/2023,1,0,,,,,,125,NULL,4,671,UNKNOWN,NULL
US,7/1/2023,1,0,,,,,,125,NULL,4,1000,UNKNOWN,NULL
US,10/1/2023,1,0,,,,,,125,NULL,4,1027,UNKNOWN,NULL
US,11/1/2023,1,0,,,,,,125,NULL,4,500,UNKNOWN,NULL
US,8/1/2023,1,0,,,,,,554,NULL,4,5,UNKNOWN,NULL
US,11/1/2023,1,0,,,,,,554,NULL,4,350,UNKNOWN,NULL
